البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	لا يجتاز	١٥ وسمًا: أداة تدريبية من إنشاء الكتاب ٥، تحليل حديث ٥، يحتاج إلى تحقق ٥
العلمية	مصادر في المجلد الأول: الأصول تنتظر التحقيق (لم تدخل الثبت)	يجتاز	لا شيء
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٤٩ موضعًا، ٤٩ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	للمراجعة	ف01-ب-الدرس-الثاني.md:٣٢٨، ف02-أ-المدخل-والدرس-الأول.md:٤١٧، ف03-أ-المفاهيم-والدرس.md:٤١٠
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	يجتاز	لا شيء
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب الأول، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الأول، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الأول، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الأول، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الأول، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الأول، الفصل السادس: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ١٧×٢٤ سم للمجلدات الأحد عشر، والمرجع منها (الباب ١١٢ك)	يجتاز	{(170, 240)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٨ صفحة: د، ي، ل، خ، غ، ١٨٠، ٥٢٨، ٥٣٢
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	٤٣٨، ٤٧٧، ٥٢٥
الإخراج الفني	الرسوم المقرّرة للمجلد الأول (الدليل ٠٨ §٤)	لا يجتاز	رُسم ١ من ٩: المدخل، ف١ (مرسوم): طيف مستويات العربية، من التراثية إلى العامية، وموضع المقامات عليه؛ المدخل، ف٢ (لم يُرسم): خريطة المقام والمستوى: المخاطَب والموضوع والمكان تحدّد موضع الكلام على الطيف؛ المدخل، ف٣ (لم يُرسم): المفاهيم الخمسة: الصحة شرطٌ داخلي، والبلاغة أوسعها؛ المدخل، ف٤ (لم يُرسم): من الفهم إلى الإنتاج: القراءة والسماع والمحاكاة والإنتاج؛ الباب ١، ف١ (لم يُرسم): نموذج التواصل: المتكلّم، والمخاطَب، والمقام، والغرض، والموضوع، والأسلوب، والصوت، والأثر؛ الباب ١، ف٢ (لم يُرسم): سلّم الدرجات الأربع وما يتغيّر بين كل درجتين؛ الباب ١، ف٣ (لم يُرسم): الفصاحة والبلاغة والبيان: حدود كل مصطلح عند البلاغيين؛ الباب ١، ف٤ (لم يُرسم): مصفوفة مقتضى الحال: المخاطَب في المقام؛ الباب ١، ف٦ (لم يُرسم): دورة الملكة: السماع، فالمحاكاة، فالتكرار، فالملكة
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	١٩ صفحة من ٥٦٧
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ٢٨ صفحة (أ–غ)، والمتن ٥٣٩ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	٣١ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	٣٧ إشارة؛ في المستوى الأول: المقدّمات، المقدمة: في صناعة الكلام، المدخل، الباب الأول: الأسس، الملاحق
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد الأول: الأصول؛ أحمد بن إبراهيم السليمي؛ المجلد الأول: الأصول
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	١١٣ حاشية
التقنية	الإحالات الداخلية في المقدمة والمدخل (الفصل و§ والمسألة)	يجتاز	١٩ إحالة
التقنية	إحالات الباب الأول إلى فصوله (١–٦)	للمراجعة	ف06-أ-المدخل-والدرس.md: الفصل التاسع
العلمية	الثبت: لا يدخله كتابٌ لم يُحَل إليه في حواشي المجلد (الدليل ٣٤ §٤)	يجتاز	٥١ مدخلًا
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×١٢)، SourceSerif4 ٧.٨ (×٩)، Changa ٧.٨ (×١٥٢٤)، IBMPlexSansArabic ٧.٨ (×٤٣٨)، IBMPlexSansArabic ٨.٠ (×٤٥)، Changa ٨.٠ (×٨٦)، Amiri ٨.٢ (×٥٣)، IBMPlexSansArabic ٨.٢ (×٢٨)، Changa ٨.٢ (×١)، SourceSerif4 ٨.٢ (×١)، Changa ٨.٣ (×١٢٥٨)، ScheherazadeNew ٨.٣ (×٥)، Amiri ٨.٣ (×٢)، IBMPlexSansArabic ٨.٤ (×٢١)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
٤٥	آخر صفحةٍ في قسمها شبه فارغة (٩٪)
٤٣٨	صفحةٌ قصيرة (٣٤٪) في وسط فصل
٤٧٧	صفحةٌ قصيرة (٣٣٪) في وسط فصل
٥٢٥	صفحةٌ قصيرة (٣٣٪) في وسط فصل

الملف	السطر	نوع الوسم	نصّه
