البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	لا يجتاز	٢١ وسمًا: استنباط تربوي ١٥، يحتاج إلى تحقق ٢، أداة تدريبية من إنشاء الكتاب ٢، تحليل حديث ٢
العلمية	مصادر في المجلد التاسع: المؤسسة تنتظر التحقيق (لم تدخل الثبت)	يجتاز	لا شيء
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٩ موضعًا، ٩ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	للمراجعة	ف03-ب-إدارة-الاجتماع.md:١٧٨
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	يجتاز	لا شيء
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب العاشر، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب العاشر، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب العاشر، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب العاشر، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب العاشر، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ١٧×٢٤ سم للمجلدات الأحد عشر، والمرجع منها (الباب ١١٢ك)	يجتاز	{(170, 240)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٦ صفحة: د، ح، ي، ل، ع، ٣١٠
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	٥٢، ١٦٤، ٣٠٥
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
