البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	لا يجتاز	٥٢ وسمًا: استنباط تربوي ٢٠، يحتاج إلى تحقق ١٠، أخرى ٩، تحليل حديث ٨، أداة تدريبية من إنشاء الكتاب ٥
العلمية	مصادر في المجلد الثالث: العبارة تنتظر التحقيق (لم تدخل الثبت)	للمراجعة	ابن خلدون، المقدمة؛ ابن خلدون، المقدمة، الفصل المعقود في أن ملكة هذا اللسان غير صناعة العربية؛ الجاحظ، البيان والتبيين، ج١؛ الخطيب القزويني، الإيضاح في علوم البلاغة، أول الكتاب في الفصاحة؛ الخطيب القزويني، الإيضاح في علوم البلاغة، باب الإيجاز والإطناب والمساواة؛ سيبويه، الكتاب، تحقيق عبد السلام هارون، ج١؛ عبد القاهر الجرجاني، دلائل الإعجاز، قراءة محمود محمد شاكر، باب التقديم والتأخير
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٨ موضعًا، ٨ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	للمراجعة	ف02-أ-المطابقة.md:٢٦٥، ف06-أ-أثر-اللغات-المحلية.md:١٥٩، ف07-ب-التكرار-والغموض.md:٢٩٧
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	يجتاز	لا شيء
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب الثالث، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل السادس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل السابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل الثامن: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثالث، الفصل التاسع: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ١٧×٢٤ سم للمجلدات الأحد عشر، والمرجع منها (الباب ١١٢ك)	يجتاز	{(170, 240)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٥ صفحة: د، ح، ي، ع، ٤٥٤
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	٦٦، ١٦٩، ٢٠٥، ٣١٤، ٣٢٩
