البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	لا يجتاز	٥ وسمًا: تحليل حديث ٥
العلمية	مصادر في المجلد الثامن: المجالس والمنبر تنتظر التحقيق (لم تدخل الثبت)	يجتاز	لا شيء
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٢٩ موضعًا، ٢٩ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	للمراجعة	ف01-ب-الكلام-في-المجلس.md:٣٨١، ف01-ب-الكلام-في-المجلس.md:٣٨٣، ف04-أ-المدخل-والدرس-الأول.md:٢٥٠، ف04-ب-الدرس-الثاني.md:١٤٦
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	يجتاز	لا شيء
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب الثامن، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثامن، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثامن، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثامن، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الثامن، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب التاسع، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب التاسع، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب التاسع، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب التاسع، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب التاسع، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ١٧×٢٤ سم للمجلدات الأحد عشر، والمرجع منها (الباب ١١٢ك)	يجتاز	{(170, 240)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٨ صفحة: د، ح، ي، ن، ص، ٥٤٠، ٥٤٤، ٥٥٠
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	للمراجعة	١٩٩
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	١١٥، ٥٣٦
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	١٠ صفحة من ٥٦٩
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٨ صفحة (أ–ص)، والمتن ٥٥١ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	١٤ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	٢٥ إشارة؛ في المستوى الأول: المقدّمات، الباب الثامن: المجالس، الباب التاسع: المنبر والمنصة، الخواتيم، الفهارس
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد الثامن: المجالس والمنبر؛ أحمد بن إبراهيم السليمي؛ المجلد الثامن: المجالس والمنبر
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	١٦ حاشية
التقنية	إحالات الباب الثامن إلى فصوله (١–٥)	يجتاز	
التقنية	إحالات الباب التاسع إلى فصوله (١–٥)	يجتاز	
العلمية	الثبت: فيه كل ما أُحيل إليه في حواشي المجلد (قاعدة المصادر)	يجتاز	١١ عنوانًا
العلمية	الثبت (الدليل ٣٤ §٤)	يجتاز	يُختم المجلد بثبته (ثبت-المصادر.md)، مولَّدًا من قاعدة المصادر
