البوابة	الفحص	الحكم	التفصيل
العلمية	كل حديثٍ منسوبٍ له تخريجٌ في حاشية	يجتاز	
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	يجتاز	٠ وسمًا: 
العلمية	مصادر في المجلد الحادي عشر: مرجع المتكلّم العربي تنتظر التحقيق (لم تدخل الثبت)	يجتاز	لا شيء
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	١ موضعًا، ١ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	يجتاز	
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	يجتاز	لا شيء
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ١٧×٢٤ سم للمجلدات الأحد عشر، والمرجع منها (الباب ١١٢ك)	يجتاز	{(170, 240)}
التقنية	لا أثر للمقاسين الملغيين (٢٠×٢٦ و١٥×٢١)	يجتاز	
التقنية	لا وسم مؤقت على الصفحات (TODO، placeholder، «نص مؤقت»…)	يجتاز	
النشر	الغلاف مبنيٌّ على عدد صفحات هذه النسخة (عرض الكعب)	يجتاز	٤٠٧ صفحة
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٨ صفحة: د، ح، ي، ن، ص، ٢٣٨، ٣٥٦، ٣٨٨
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا عمود انهار إلى كلمةٍ في السطر	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	٥، ٣٣، ٣١٠
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	٩ صفحة من ٤٠٧
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٨ صفحة (أ–ص)، والمتن ٣٨٩ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	١٦ مدخلًا
