البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	لا يجتاز	٢٤ وسمًا: استنباط تربوي ١٦، تحليل حديث ٣، أداة تدريبية من إنشاء الكتاب ٣، يحتاج إلى تحقق ١، أخرى ١
العلمية	مصادر في المجلد الخامس: المقام تنتظر التحقيق (لم تدخل الثبت)	للمراجعة	الخطيب القزويني، الإيضاح في علوم البلاغة
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٣٥ موضعًا، ٣٥ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	للمراجعة	ف01-أ-المدخل-والدرس-الأول.md:١٤٣، ف06-مخاطبة-الأقران-والأدنى.md:٣٢١
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	للمراجعة	ف09-ج-التوليف-والتدريبات.md ×٢
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب الخامس، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل السادس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل السابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل الثامن: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الخامس، الفصل التاسع: أركان الفصل	لا يجتاز	ينقصه: للمدرّب
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ٢٠٠×٢٦٠ مم	يجتاز	{(200, 260)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٥ صفحة: د، ح، ي، ع، ٣٨٨
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	للمراجعة	٢٦٦
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	٩ صفحة من ٤٠٥
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٦ صفحة (أ–ع)، والمتن ٣٨٩ صفحة
التقنية	المحتويات: كل مدخلٍ على الصفحة التي تفتتحه، وعليها رتبة الفصل	يجتاز	١١ مدخلًا
التقنية	الإشارات المرجعية (Bookmarks)	يجتاز	١٤ إشارة؛ في المستوى الأول: المقدّمات، الباب الخامس: المقام
التقنية	بيانات الملف: العنوان والمؤلف، بلا وسم المراجعة	يجتاز	صناعة المتكلّم العربي — المجلد الخامس: المقام؛ أحمد بن إبراهيم السليمي؛ المجلد الخامس: المقام
التقنية	الحواشي كلها في الصفحات (حواشي صفحة بـPaged.js)	يجتاز	٠ حاشية
التقنية	إحالات الباب الخامس إلى فصوله (١–٩)	يجتاز	
العلمية	الثبت (الدليل ٣٤ §٤)	للعلم	لا حواشي في هذا المجلد، فلا ثبت له؛ ولا يدخل ثبتًا كتابٌ لم يُحَل إليه
الحرفية	لا نصّ أصغر من ٧.٨ نقطة (الرموز، وسلّم الرسمية، والجهاز العلمي، والحواشي، وأرقام الصفحات)	يجتاز	أصغر المقاسات المستعملة: SourceSerif4 ٦.٤ (×٩)، Changa ٧.٨ (×١١٣٧)، IBMPlexSansArabic ٧.٨ (×٥١٤)، IBMPlexSansArabic ٧.٩ (×٢)، IBMPlexSansArabic ٨.٠ (×٤٩)، IBMPlexSansArabic ٨.١ (×٦)، IBMPlexSansArabic ٨.٢ (×١١)، SourceSerif4 ٨.٢ (×١)، Amiri ٨.٢ (×٧٨)، IBMPlexSansArabic ٨.٣ (×١)، Changa ٨.٣ (×٩٨٥)، IBMPlexSansArabic ٨.٤ (×١٥)
النشر	لا «نسخة المراجعة» ولا «ليست للنشر» في النسخة النهائية (المتن، والرأس، والخاتمة، وبيانات الملف)	يجتاز	لا شيء
النشر	بيانات النشر مطابقةٌ للدليل (الناشر وتواصله، والسنتان، والطبعة، والمؤلف، والمجلد)	يجتاز	كلها مطابقة، وصفحة بيانات النشر و
النشر	ردمك المجلد والمجموعة ورقم الإيداع ومكان النشر (يصدرها الناشر؛ لا يُطبع بدلها نصٌّ مؤقت)	ينتظر الناشر	لم يصدر بعد: ردمك المجلد، ردمك المجموعة، رقم الإيداع، مكان النشر؛ وسطورها غير مطبوعة
التقنية	فهرس المحتويات بأرقام صفحاته	يجتاز	لا مدخل بلا رقم
التقنية	فهارس المجلد (الآيات، والأحاديث والآثار، والأشعار، والأعلام، والمصطلحات، والمصادر بالصفحة) — الدليل ١١١ §٤	لم يُبنَ	لم تُبنَ بعدُ أداة الفهارس؛ والثبت حاضر
التربوية	مسرد مصطلحات المجلد (الدليل ٣٩)	لم يُبنَ	المسرد العام في المجلد الحادي عشر؛ ولا مسرد للمجلد بعد

الصفحة	ما يُراجَع
٥٥	آخر صفحةٍ في قسمها شبه فارغة (١١٪)
٢٦٦	صفحةٌ قصيرة (٤٤٪) في وسط فصل
٣٨٧	آخر صفحةٍ في قسمها شبه فارغة (٩٪)

الملف	السطر	نوع الوسم	نصّه
المجلد-الخامس/الباب-الخامس/00-فاتحة-الباب-الخامس.md	9	يحتاج إلى تحقق	الخطيب القزويني، الإيضاح في علوم البلاغة؛ يحتاج إلى تحقق من الصفحة
المجلد-الخامس/الباب-الخامس/ف01-أ-المدخل-والدرس-الأول.md	80	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف01-أ-المدخل-والدرس-الأول.md	143	تحليل حديث	تحليل حديث
المجلد-الخامس/الباب-الخامس/ف01-أ-المدخل-والدرس-الأول.md	145	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف01-أ-المدخل-والدرس-الأول.md	149	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-الخامس/الباب-الخامس/ف02-أ-المدخل-والدرس-الأول.md	64	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف03-أ-المدخل-والدرس-الأول.md	64	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف04-أ-المدخل-والدرس-الأول.md	56	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف05-أ-المدخل-والدرس-الأول.md	58	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	59	استنباط تربوي	استنباط تربوي
المجلد-الخامس/الباب-الخامس/ف06-مخاطبة-الأقران-والأدنى.md	63	استنباط تربوي	استنباط تربوي
