البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	يجتاز	٠ وسمًا: 
العلمية	مصادر في المجلد الرابع: البيان تنتظر التحقيق (لم تدخل الثبت)	يجتاز	لا شيء
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	٤٠ موضعًا، ٤٠ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	يجتاز	
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	للمراجعة	ف08-ب-التطبيق-والتقويم.md: «مفتاح النجاح»
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	للمراجعة	ف10-أ-الاقتباس-والتضمين.md: «يحتاج إلى تحقق» ×١
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	للمراجعة	ف06-ج-التطبيق-والتقويم.md ×٢؛ ف09-أ-من-علم-البديع.md ×٢؛ ف10-د-التطبيق-والتقويم.md ×٣
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب الرابع، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب الرابع، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
