البوابة	الفحص	الحكم	التفصيل
العلمية	الوسوم الظاهرة في المتن (المطلوب للنشر: صفر)	لا يجتاز	٤٦ وسمًا: استنباط تربوي ٢٩، تحليل حديث ٨، يحتاج إلى تحقق ٦، أداة تدريبية من إنشاء الكتاب ٣
العلمية	مصادر في المجلد السابع: الحوار تنتظر التحقيق (لم تدخل الثبت)	للمراجعة	ابن جماعة، تذكرة السامع والمتكلم
العلمية	الآيات بالرسم العثماني لمصحف المدينة (quran.py)	يجتاز	١٨ موضعًا، ١٨ مطابقًا
العلمية	إحالاتٌ إلى مصادر في متن الدروس لا في حاشية (الدليل ٠٨ §٣: «من علم التواصل» يُحال إليه في حاشية)	للمراجعة	ف02-أ-الجواب-المدخل-والدرس-الأول.md:٢٩٣، ف05-أ-الإقناع-المدخل-والدرس-الأول.md:٣٤٢
التحريرية	العبارات المجتنبة (الدليل ٣٣ §٣)	يجتاز	لا شيء
التحريرية	لغة الإنتاج في المتن خارج الوسوم (الدليل ٣٣ §٤)	يجتاز	لا شيء
التحريرية	«في هذا الفصل» أكثر من مرة في الملف الواحد	يجتاز	لا شيء
اللغوية	لغة البنية (الأجزاء الأربعة، الأبواب الأربعة عشر، الإحالات بين المجلدات): premove.py --strict	يجتاز	21/21 checks; 0 failures; 0 for a reader
الحرفية	لا يظهر من علامات المصدر شيء (التعليقات، والنجوم، والعناوين، وخطوط الجداول)	يجتاز	لا شيء
اللغوية	لا نقطة وسطى «·» بجوار رقمٍ مشرقي (الدليل ٠٦)	يجتاز	
التربوية	الباب السابع، الفصل الأول: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الثاني: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الثالث: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الرابع: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل الخامس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل السادس: أركان الفصل	يجتاز	كلها حاضرة
التربوية	الباب السابع، الفصل السابع: أركان الفصل	يجتاز	كلها حاضرة
الحرفية	العائلات المعتمدة وحدها	يجتاز	Amiri؛ AmiriQuran؛ Changa؛ IBMPlexSansArabic؛ Kufam؛ Kufamå¼ SMA؛ ScheherazadeNew؛ SourceSerif4
الحرفية	لا خطّ من صنف Type 3	يجتاز	
الحرفية	الخطوط كلها مضمّنة	يجتاز	
التقنية	مقاس الصفحات واحد ٢٠٠×٢٦٠ مم	يجتاز	{(200, 260)}
الإخراج الفني	الصفحات البيضاء المقصودة (قبل ما يُفتتح على صفحةٍ فردية)	للعلم	٦ صفحة: د، ح، ي، ل، ع، ٣٢٨
الإخراج الفني	لا عنوان في أسفل صفحةٍ بلا نصّ بعده	يجتاز	
الإخراج الفني	لا صفحة قصيرة في وسط فصل إلا قبل درسٍ يفتتح صفحته	يجتاز	
الإخراج الفني	الرسوم المقرّرة	للعلم	لا رسوم مقرّرة لهذا المجلد؛ مواصفة الرسوم (الدليل ٠٨ §٤) للمجلد الأول
الإخراج الفني	الصفحات الكاملة (العتبات، والملصقات، وصفحات التراث، والمقدّمات الثابتة)	للعلم	٩ صفحة من ٣٤٥
التقنية	الرأس الجاري على كل صفحة جارية	يجتاز	
التقنية	أرقام الصفحات متصلة: المقدّمات بالأبجدية، والمتن من ١	يجتاز	المقدّمات ١٦ صفحة (أ–ع)، والمتن ٣٢٩ صفحة
