الاسم	الصيغ	الصفة
سيبويه	سيبويه	
الخليل بن أحمد الفراهيدي	الخليل بن أحمد(?: الفراهيدي)?	
الجاحظ	الجاحظ	
ابن جني	ابن جني	
ابن قتيبة	ابن قتيبة	
أبو هلال العسكري	أبو هلال العسكري|أبي هلال العسكري|أبو هلال	
عبد القاهر الجرجاني	عبد القاهر الجرجاني|عبد القاهر	
السكاكي	السكاكي	
الخطيب القزويني	الخطيب القزويني|القزويني	
بهاء الدين السبكي	بهاء الدين السبكي|السبكي	
ضياء الدين ابن الأثير	ضياء الدين ابن الأثير	
ابن خلدون	ابن خلدون	
ابن تيمية	ابن تيمية	
ابن القيم	ابن القيّ?م	
الشاطبي	الشاطبي	
ابن الجزري	ابن الجزري	
ابن مالك (النحوي)	ابن مالك(?! رضي)	
ابن عقيل	ابن عقيل	
ابن هشام الأنصاري (النحوي)	ابن هشام(?= في (?:معنى|المغني|«?مغني|شرح|«?شذور))|وأنشده ابن هشام|أنشده ابن هشام	
ابن هشام (صاحب السيرة)	سيرة ابن هشام|ابن هشام في «?السيرة	
الغزالي	الغزالي	
النووي	النووي	
ابن حجر العسقلاني	ابن حجر	
ابن جماعة	ابن جماعة	
ابن عبد البر	ابن عبد البر	
الذهبي	الذهبي	
ابن المقفع	ابن المقفع	
السخاوي	السخاوي	
السيوطي	السيوطي	
الطبري	الطبري	
الزمخشري	الزمخشري	
ابن فارس	ابن فارس	
ابن أبي العز	ابن أبي العز	
الشافعي	الإمام الشافعي|الشافعي(?!ة)	
مالك بن أنس	الإمام مالك|مالك بن أنس	
عطاء بن أبي رباح	عطاء بن أبي رباح	
مجاهد بن جبر	مجاهد(?= بن| في|:|،| رحمه)	
أبو الأسود الدؤلي	أبو الأسود الدؤلي|أبي الأسود الدؤلي|أبا الأسود الدؤلي	
بشر بن المعتمر	بشر بن المعتمر	
زهير بن أبي سلمى	زهير بن أبي سلمى	
امرؤ القيس	امرؤ القيس|امرئ القيس|امرأ القيس	
الحطيئة	الحطيئة	
المتنبي	المتنبي	
الأخطل	الأخطل	
عمر بن الخطاب	عمر بن الخطاب|عمر رضي الله عنه	
علي بن أبي طالب	عليّ? بن أبي طالب|عليّ? رضي الله عنه	
عائشة أم المؤمنين	عائشة رضي الله عنها|أم المؤمنين عائشة	
عبد الله بن عباس	ابن عباس|عبد الله بن عباس	
عبد الله بن مسعود	عبد الله بن مسعود|ابن مسعود	
عبد الله بن عمر	عبد الله بن عمر|ابن عمر(?! بن)	
أنس بن مالك	أنس بن مالك|أنس رضي الله عنه	
أبو هريرة	أبو هريرة|أبي هريرة	
جابر بن سمرة	جابر بن سمرة	
معاوية بن الحكم السلمي	معاوية بن الحكم(?: السلمي)?	
المقداد بن الأسود	المقداد(?: بن الأسود)?	
أسامة بن زيد	أسامة بن زيد	
كعب بن مالك	كعب بن مالك	
أبو موسى الأشعري	أبو موسى الأشعري|أبي موسى الأشعري	
معاذ بن جبل	معاذ بن جبل|معاذ رضي الله عنه	
أبو الطفيل عامر بن واثلة	أبو الطفيل|أبي الطفيل	
ضماد الأزدي	ضِ?ماد	
قتادة	قتادة	
هرقل	هرقل	
عتبة بن ربيعة	عتبة بن ربيعة	
يونس بن عبد الأعلى الصدفي	يونس بن عبد الأعلى(?: الصدفي)?	
عيسى بن عمر النحوي	عيسى بن عمر	
أبو علقمة النحوي	أبو علقمة|أبا علقمة|أبي علقمة	
إبراهيم أنيس	إبراهيم أنيس	
تمام حسان	تمّ?ام حسّ?ان	
محمود محمد شاكر	محمود محمد شاكر	
السعيد محمد بدوي	السعيد محمد بدوي|السعيد بدوي	
H. P. Grice (غرايس)	غرايس	
J. L. Austin (أوستن)	أوستن	
J. R. Firth (فيرث)	فيرث	
D. Hymes (هايمز)	هايمز	
C. A. Ferguson (فرغسون)	في?رغسون	
M. A. K. Halliday (هاليداي)	هاليداي	
R. Hasan (رقية حسن)	رقية حسن	
S. P. Corder (كوردر)	كوردر	
L. Selinker (سلينكر)	سلينكر	
B. Malinowski (مالينوفسكي)	مالينوفسكي	
E. Goffman (غوفمان)	غوفمان	
P. Brown (براون)	بينيلوبي براون	
S. C. Levinson (ليفنسون)	ليفنسون	
G. N. Leech (ليتش)	ليتش	
A. Bell (آلان بل)	آلان بِ?ل	
C. R. Rogers (روجرز)	روجرز	
D. Carnegie (كارنيجي)	كارنيجي	
A. Mehrabian (مهرابيان)	مِ?هرابيان	
أرسطو	أرسطو	
S. Toulmin (تولمن)	تولمن	
J. M. Swales (سويلز)	سويلز	
K. Hyland (هايلاند)	هايلاند	
I. L. Janis (جانيس)	جانيس	
T. B. Macaulay (ماكولي)	ماكولي	
W. Spitta (سبيتا)	سبيتا	
W. Bentinck (بنتنك)	بنتنك	
