المصطلح	التعريف	أول ورود	الرسم المعتمد	المقابل الإنجليزي	البدائل الممنوعة	العلاقة المفهومية	الحالة
الأصوات الحرجة	الأصوات التي يكثر فيها الخطأ عند بعض المستعربين، كالحاء والعين والقاف والضاد والظاء والطاء، وأصوات المد.		الأصوات الحرجة	Critical sounds			معرَّف في المسرد؛ يُكمَّل
الارتجال	الكلام في مقام لم يُستعد له إلا ثواني. غاية الكتاب في بابه الأخير.		الارتجال	Improvisation			معرَّف في المسرد؛ يُكمَّل
بطاقة المقام	الإطار الإلزامي فوق كل نموذج مهم: المتكلم، والمخاطَب، والمكان والمناسبة، والغرض، ودرجة الرسمية، والزمن المتاح.		بطاقة المقام	Context card			معرَّف في المسرد؛ يُكمَّل
البلاغة	مطابقة الكلام الفصيح لمقتضى الحال. ولا يُخلط بينها وبين الفصاحة.		البلاغة	Rhetorical adequacy		لا تُخلط بالفصاحة؛ من المفاهيم الخمسة	معرَّف في المسرد؛ يُكمَّل
البيان	الكشف عن المعنى وإيصاله إلى السامع، بالمعنى العام الذي استعمله الجاحظ.		البيان	Clarity of expression			معرَّف في المسرد؛ يُكمَّل
التدريب الحر	تدريب يُنتج فيه المتعلم كلامه بلا قالب.		التدريب الحر	Free practice			معرَّف في المسرد؛ يُكمَّل
التدريب الموجّه	تدريب مقيّد بنموذج أو قالب يحاكيه المتعلم.		التدريب الموجّه	Guided practice			معرَّف في المسرد؛ يُكمَّل
الترجمة الحرفية	نقل تركيب لغة أخرى إلى العربية كلمةً بكلمة، فتأتي الجملة صحيحة الإعراب غريبة على السمع العربي.		الترجمة الحرفية	Literal translation			معرَّف في المسرد؛ يُكمَّل
التعبير الطبيعي	ما يقوله العربي الفصيح تلقائيًّا في المقام، لا ما تجيزه القاعدة فحسب.		التعبير الطبيعي	Natural expression			معرَّف في المسرد؛ يُكمَّل
التكلف	تجاوز الطبيعي إلى المصطنع في اللفظ أو الأداء. والتقعر نوع منه.		التكلف	Affectation			معرَّف في المسرد؛ يُكمَّل
الحشو الصوتي	أصوات تملأ فراغ التفكير، مثل «إييه» و«يعني» و«في الحقيقة» إذا تكررت بلا معنى.		الحشو الصوتي	Filler sounds			معرَّف في المسرد؛ يُكمَّل
درجة الرسمية	موضع الكلام على السلّم الخماسي: من الودي الحميم (١) إلى الرسمي البروتوكولي (٥).		درجة الرسمية	Degree of formality			معرَّف في المسرد؛ يُكمَّل
السجل اللغوي	مستوى الاستعمال بحسب المقام: أكاديمي، وإداري، ودعوي، وإعلامي، واجتماعي، وغيرها.		السجل اللغوي	Register			معرَّف في المسرد؛ يُكمَّل
الطلاقة	اتصال الكلام بلا تردد مخلّ ولا حشو صوتي. وليست هي السرعة.		الطلاقة	Fluency			معرَّف في المسرد؛ يُكمَّل
الفصاحة	سلامة اللفظ والتركيب من العيوب، وخلوصهما من الغرابة والتعقيد.		الفصاحة	Eloquence (soundness)		لا تُخلط بالبلاغة؛ من المفاهيم الخمسة	معرَّف في المسرد؛ يُكمَّل
المتكلم الرفيع	النموذج الرابع في المواقف المحورية: الناجح مع لمسة بيان لا تكلف فيها.		المتكلم الرفيع	The distinguished speaker		الدرجة الرابعة: الناجح مع لمسة بيانٍ لا تكلّف فيها	معرَّف في المسرد؛ يُكمَّل
المتكلم المقبول	من أدى الغرض بلا أخطاء كبيرة، ولم يبلغ النجاح.		المتكلم المقبول	The acceptable speaker		الدرجة الثانية	معرَّف في المسرد؛ يُكمَّل
المتكلم الناجح	من حقق كلامه المعايير الخمسة في مقام بعينه.		المتكلم الناجح	The successful speaker		الدرجة الثالثة، وهي الغاية المطلوبة	معرَّف في المسرد؛ يُكمَّل
المتكلم غير الناجح	من أخفق كلامه في تحقيق غرضه في مقام بعينه. والوصف يقع على الأداء لا على صاحبه.		المتكلم غير الناجح	The unsuccessful speaker	«الفاشل»، «الضعيف»	أدنى الدرجات الأربع؛ وصفٌ لأداءٍ في مقام لا لشخص	معرَّف في المسرد؛ يُكمَّل
المحاكاة	أداء موقف واقعي بأدوار محددة، مع ملاحظ يقيّم الأداء.		المحاكاة	Simulation			معرَّف في المسرد؛ يُكمَّل
المخاطَب	من يوجَّه إليه الكلام، بفتح الطاء. والمستمع أعم منه.		المخاطَب	Addressee			معرَّف في المسرد؛ يُكمَّل
مستوى البرنامج	مرحلة من المستويات صفر إلى اثني عشر في منهج الكتاب.		مستوى البرنامج	Programme level			معرَّف في المسرد؛ يُكمَّل
المعايير الخمسة	الوضوح، والصحة، والمناسبة، والتأثير، والأدب. بها يُحكم على كل كلام في الكتاب.		المعايير الخمسة	The five criteria			معرَّف في المسرد؛ يُكمَّل
