الرقم	المجموعة	الطبقة	المؤلف	الوفاة أو السنة	العنوان	الطبعة (من سجلّ فهرسة)	مصدر بيانات الطبعة	الوظيفة في المشروع	المجلدات	حالة الاستعمال	حالة بيانات الطبعة	الأجزاء في الطبعة السابقة
مص-٠٠١	علوم القرآن والقراءات والتجويد	أ	مجمع الملك فهد		مصحف المدينة النبوية (رواية حفص)	تُحدَّد	—	النص القرآني المعتمد برسمه وعلامات وقفه	المجلد الأول	مستعمَل	تُحدَّد	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٠٠٢	علوم القرآن والقراءات والتجويد	أ	الزركشي	٧٩٤	البرهان في علوم القرآن	تحقيق محمد أبو الفضل إبراهيم [ت ١٤٠١ هـ]، دار إحياء الكتب العربية عيسى البابى الحلبي وشركائه، الأولى، ١٣٧٦ هـ - ١٩٥٧ م، ٤ أجزاء	بطاقة المكتبة الشاملة 11436	علوم القرآن وأساليبه البيانية	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٠٠٣	علوم القرآن والقراءات والتجويد	أ	السيوطي	٩١١	الإتقان في علوم القرآن	تحقيق محمد أبو الفضل إبراهيم [ت ١٤٠١ هـ]، الهيئة المصرية العامة للكتاب، ١٣٩٤ هـ/ ١٩٧٤ م، ٤ أجزاء	بطاقة المكتبة الشاملة 11728	علوم القرآن، ومعرفة الوقف والابتداء	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٠٤	علوم القرآن والقراءات والتجويد	أ	ابن الجزري	٨٣٣	النشر في القراءات العشر	تحقيق علي محمد الضباع (المتوفى ١٣٨٠ هـ)، المطبعة التجارية الكبرى [تصوير دار الكتاب العلمية]، ٢ أجزاء	بطاقة المكتبة الشاملة 22642	أصول الأداء ومخارج الحروف وصفاتها	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٠٥	علوم القرآن والقراءات والتجويد	أ	ابن الجزري	٨٣٣	التمهيد في علم التجويد	مكتبة المعارف، الرياض، الأولى، ١٤٠٥ هـ - ١٩٨٥ م	بطاقة المكتبة الشاملة 8194	حدّ التجويد وطريق تحصيله بالرياضة والتلقّي	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٠٦	علوم القرآن والقراءات والتجويد	أ	مكي بن أبي طالب	٤٣٧	الرعاية لتجويد القراءة وتحقيق لفظ التلاوة	تُحدَّد	—	مخارج الحروف وصفاتها وأحكامها	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٠٧	علوم القرآن والقراءات والتجويد	أ	أبو عمرو الداني	٤٤٤	التحديد في الإتقان والتجويد	تحقيق الدكتور غانم قدوري حمد، مكتبة دار الأنبار - بغداد / ساعدت جامعة بغداد على طبعه، الأولى ١٤٠٧ هـ - ١٩٨٨ م	بطاقة المكتبة الشاملة 26458	حدود الإتقان والتجويد والتحذير من التكلّف	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٠٨	علوم القرآن والقراءات والتجويد	أ	أبو عمرو الداني	٤٤٤	التيسير في القراءات السبع	دار الأندلس للنشر والتوزيع، حائل - المملكة العربية السعودية، الأولى، ١٤٣٦ هـ - ٢٠١٥ م	بطاقة المكتبة الشاملة 147812	أصول القراءات السبع	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠٠٩	علوم القرآن والقراءات والتجويد	أ	ابن مجاهد	٣٢٤	السبعة في القراءات	تحقيق شوقي ضيف، دار المعارف - مصر، الثانية، ١٤٠٠هـ	بطاقة المكتبة الشاملة 5530	القراءات والتلقّي عن الأئمة	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٠١٠	علوم القرآن والقراءات والتجويد	أ	أبو علي الفارسي	٣٧٧	الحجة للقراء السبعة	تحقيق بدر الدين قهوجي - بشير جويجابي، دار المأمون للتراث - دمشق / بيروت، الثانية، ١٤١٣ هـ - ١٩٩٣م، ٧ أجزاء	بطاقة المكتبة الشاملة 35101	توجيه القراءات لغةً ونحوًا	—	للبحث	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة
