الملف	السطر	المجلد	القاعدة	النص	التصنيف	الإجراء
book/00-كلمة-المؤلف.md	19	1	الثمانية	ثمانية مجلدات	يُصحّح	الأحد عشر
book/الافتتاحية/05-البيان-عند-علماء-العربية.md	78	1	الثمانية	المجلد الثامن	يُصحّح	الأحد عشر
book/الافتتاحية/06-منزلة-العربية.md	62	1	إحالة	من الباب الثاني	يُصحّح	يُزاد المجلد: «في المجلد 2، …»
book/الافتتاحية/07-العربية-والوحي.md	135	1	إنجليزية	Part I	يُحفظ	عنوان مصدرٍ أو عبارةٌ إنجليزية مدروسة، لا بنية الكتاب
book/الافتتاحية/07-العربية-والوحي.md	136	1	إنجليزية	Part I	يُحفظ	عنوان مصدرٍ أو عبارةٌ إنجليزية مدروسة، لا بنية الكتاب
book/الافتتاحية/09-ما-رأيته.md	7	1	الثمانية	ثمانية مجلدات	يُصحّح	الأحد عشر
book/الافتتاحية/18-كيف-تقرأ-المجلدات-وعهد-المؤلف.md	3	1	الثمانية	المجلدات الثمانية	يُصحّح	الأحد عشر
book/الافتتاحية/18-كيف-تقرأ-المجلدات-وعهد-المؤلف.md	5	1	الثمانية	ثمانية مجلدات	يُصحّح	الأحد عشر
book/الافتتاحية/18-كيف-تقرأ-المجلدات-وعهد-المؤلف.md	28	1	الثمانية	المجلد الثامن	يُصحّح	الأحد عشر
book/الافتتاحية/18-كيف-تقرأ-المجلدات-وعهد-المؤلف.md	58	1	الثمانية	المجلد الثامن	يُصحّح	الأحد عشر
book/الافتتاحية/18-كيف-تقرأ-المجلدات-وعهد-المؤلف.md	77	1	الثمانية	ثمانية مجلدات	يُصحّح	الأحد عشر
book/الافتتاحية/91-ثبت-المصادر.md	60	1	إنجليزية	Part I	يُحفظ	عنوان مصدرٍ أو عبارةٌ إنجليزية مدروسة، لا بنية الكتاب
book/الجزء-الأول/الباب-الأول/00-فاتحة-الباب-الأول.md	3	1	المستوى ن	المستوى ٠	يُصحّح	المستوى 1
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	5	1	المستوى ن	المستوى ٠	يُصحّح	المستوى 1
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	183	1	رمز المثال	[م١-ب١-ف١-مث١]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث١] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	187	1	رمز المثال	[م١-ب١-ف١-مث٢]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٢] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	191	1	رمز المثال	[م١-ب١-ف١-مث٣]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٣] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	195	1	رمز المثال	[م١-ب١-ف١-مث٤]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٤] (يُحوَّل عند الإخراج)
book/الجزء-الأول/الباب-الأول/ف01-أ-المدخل-والدرس-الأول.md	199	1	رمز المثال	[م١-ب١-ف١-مث٥]	يُحفظ	معرّفٌ إنتاجيٌّ في المصدر؛ ويُطبع [ب١-ف١-مث٥] (يُحوَّل عند الإخراج)
