rgb	cmyk	as
0.973 0.965 0.945	0 0 0 0	removed (the stock's tone)
0.945 0.949 0.965	0 0 0 5	black alone
0.965 0.945 0.902	0 2 6 4	process
1 0.957 0.847	0 4 15 0	process
0.937 0.925 0.898	0 1 4 6	process
0.945 0.925 0.878	0 2 7 6	process
0.953 0.925 0.863	0 3 10 5	process
0.957 0.925 0.851	0 3 11 4	process
0.945 0.918 0.859	0 3 9 6	process
0.918 0.898 0.855	0 2 7 8	process
0.906 0.875 0.808	0 4 11 9	process
0.878 0.859 0.816	0 2 7 12	process
0.886 0.855 0.796	0 4 10 11	process
0.863 0.839 0.792	0 3 8 14	process
0.847 0.816 0.753	0 4 11 15	process
0.851 0.812 0.722	0 5 15 15	process
0.851 0.796 0.651	0 6 24 15	process
0.812 0.772 0.694	0 5 14 19	process
0.788 0.761 0.698	0 4 11 21	process
0.894 0.796 0.549	0 11 39 11	process
0.804 0.698 0.478	0 13 40 20	process
0.788 0.663 0.361	0 16 54 21	process
0.722 0.604 0.369	0 16 49 28	process
0.604 0.573 0.51	0 0 0 42	black alone
0.592 0.557 0.494	0 0 0 44	black alone
0.42 0.451 0.565	0 0 0 55	black alone
0.486 0.455 0.404	0 0 0 54	black alone
0.604 0.29 0.345	0 52 43 40	process
0.541 0.416 0.122	0 23 78 46	process
0.169 0.29 0.561	70 48 0 44	process
0.659 0.09 0.18	0 86 73 34	process
0.541 0.11 0.169	0 80 69 46	process
0.29 0.267 0.235	0 0 0 73	black alone
0.482 0.09 0.188	0 81 61 52	process
0.047 0.153 0.4	88 62 0 60	process
0.137 0.165 0.228	0 0 0 84	black alone
0.11 0.098 0.082	0 0 0 100	black alone
0.008 0.039 0.118	0 0 0 96	black alone
